MonetaryUnit,22325,Quark,PoW
CobraCoin,22326,Scrypt,PoW/PoS
Bancor Network Token,22327,N/A,N/A
BitSend,22329,XEVAN,PoW/PoS
Destiny,22330,Scrypt,PoW/PoS
16BitCoin,22333,NIST5,PoW/PoS
Project Decorum,22352,N/A,N/A
CometCoin,22354,Scrypt,PoW
ChessCoin,22407,Scrypt,PoW/PoS
SpaceCoin,22410,Scrypt,PoW/PoS
ReeCoin,22418,Scrypt,PoW/PoS
Liquid,22422,N/A,N/A
Marvelous,22428,Scrypt,PoW
Omni,22441,Scrypt,PoW
GenesysCoin,22453,SHA-256,PoW/PoS
TrollTokens,22458,SHA-256,PoW/PoS
Let it Ride,23423,POS 3.0,PoS
ScryptCoin,23429,Scrypt,PoW
LBRY Credits,23432,N/A,N/A
Specie,23435,PoS,PoS
CryptoJacks,23734,X13,PoW/PoS
PutinCoin,23737,Scrypt,PoW/PoS
Kraken,23741,SHA-256,PoW/PoS
Dlisk,23743,N/A,DPoS
iBankCoin,23745,Scrypt,PoW/PoS
Voyacoin,24305,N/A,PoW
EnterCoin,24307,N/A,N/A
World Gold Coin,24402,SHA-256,PoW
BitMoon,24405,X13,PoS
Frankywillcoin,24866,Scrypt,PoW/PoS
Psilocybin,24871,SHA-256D,PoW/PoS
ExtremeCoin,24885,Scrypt,PoW/PoS
RustCoin,24887,Scrypt,PoW/PoS
NewZealandCoin,24892,Scrypt,PoW
SingularDTV,24926,N/A,N/A
Xaurum,25082,N/A,N/A
BitFinex Tokens,25238,N/A,N/A
Uniqredit,25594,SHA-256D,PoW
ChronosCoin,25613,Scrypt,PoW/PoS
Decent,25721,N/A,PoS
PokeChain,25817,X13,PoS
MudraCoin,25820,X13,PoS
WarpCoin,25822,PoS,PoS
Coinomat,25825,N/A,N/A
PizzaCoin,25830,X11,PoW
Lutetium Coin,25916,X11,PoS
Heat Ledger,25917,N/A,PoS/PoP
Iconomi,25921,N/A,N/A
ExaByte (EXB),25925,SHA-256,PoW
Wings DAO,25946,N/A,N/A
Cryptodex,26113,N/A,N/A
ReturnBit,26121,Scrypt,PoW
deCLOUDs,26129,N/A,PoS
GoldBlocks,26194,X11,PoW/PoS
Anoncoin,27370,N/A,PoW
Syndicate,27591,X11,PoW/PoS
Mass Coin,27594,N/A,N/A
Jewels,27674,POS 3.0,N/A
WayCoin,27681,X11,PoS
MollyCoin,27993,Scrypt,PoW/PoS
Trigger,27996,N/A,N/A
bitCNY,28019,N/A,N/A
bitUSD,28021,N/A,N/A
Autumncoin,28023,X11,PoW/PoS
Save The Ocean,28025,X11,PoW/PoS
Sense,28027,N/A,N/A
CarterCoin,28083,Scrypt,PoW/PoS
TotCoin,28087,Scrypt,PoW/PoS
Bitcloud,28089,Scrypt,PoW/PoS
ArkDAO,28125,N/A,N/A
MedicCoin,28128,Scrypt,PoW/PoS
FuturePoints,28131,X11,PoS
Zeta2Coin,28136,Quark,PoW/PoS
CovenCoin,28151,SHA-256,PoW/PoS
Karbo,28154,CryptoNight,PoW
Tellurion,28172,X11,PoW/PoS
EneCoin,28174,X13,PoW/PoS
TDFB,28176,SHA-256D,PoW/PoS
BlockPay,28204,N/A,N/A
BitTokens,28208,SHA-256,PoW/PoS
ZayedCoin,28216,SHA-256,PoW
MustangCoin,28219,X11,PoW/PoS
Goonies,28221,Scrypt,PoW
808,28223,SHA-256,PoW/PoS
Veltor,28225,N/A,PoW
ZoneCoin,28227,Scrypt,PoW/PoS
DickCoin,28229,X11,PoW/PoS
DarkGold,28278,X13,PoW/PoS
TodayCoin,28317,Scrypt,PoW
Verium,28323,N/A,PoWT
RootCoin,28326,Scrypt,PoW/PoS
FirstBlood,28328,N/A,N/A
Gold Pressed Latinum,28330,N/A,PoW/PoS
DopeCoin,28332,Scrypt,PoW
B3 Coin,28333,X11,PoW/PoS
FCoin,28336,Scrypt,PoW/PoS
Pioneershares,28342,X11,PoW/PoS
PROUD Money,28431,X11,PoW/PoS
Samsara Coin,28650,QuBit,PoW/PoS
Ubiqoin,28652,Progressive-n,PoS
Armory Coin,28654,Scrypt,PoW/PoS
ERBCoin,28665,Scrypt,N/A
Lazarus,28700,DPoS,DPoS
FonzieCoin,28703,SHA-256,PoW/PoS
BitCurrency,28764,Scrypt,PoS
FaucetCoin,28767,X13,PoS
Save and Gain,28770,SHA-256,PoW
SteamPunk,28772,PoS,PoS
Dark Moon,28774,Scrypt,PoW/PoS
DollarCoin,28776,SHA-256,PoW
Sentaro,28778,Scrypt,PoW/PoS
Swiscoin,28880,Scrypt,PoW/PoW
Wexcoin,28882,N/A,PoS
Lathaan,28885,PoS,N/A
BitBronze,28888,Scrypt,PoW
Shilling,28890,Scrypt,PoW
BuzzCoin,28893,SHA-256D,PoW/PoS
Mind Gene,29001,SHA-256,PoW/PoS
PSIcoin,29004,X11,PoS
Opair,29008,PoS,PoS
NoLimitCoin,29010,SHA-256D,PoW/PoS
PesoBit,29041,Scrypt,PoW/PoS
Beats,29131,X11,PoW/PoS
Fitcoin,29133,X11,PoW/PoS
PantherCoin,29193,Scrypt,PoW/PoS
FireCoin,29196,X15,PoW/PoS
Unfed Coin,29198,Scrypt,PoW
SportsCoin,29200,X11,PoS
Peerplays,29348,N/A,N/A
NineElevenTruthCoin,29366,Scrypt,PoW/PoS
EGOcoin,29368,PoS,PoS
RCoin,29374,SHA-256,N/A
X2Coin,29376,N/A,N/A
Tianhe,29455,Lyra2RE,N/A
GBR Coin,29458,Scrypt,PoW
UPcoin,29460,X13,PoS
Octocoin,29462,N/A,PoW
Halloween Coin,29552,X11,PoW/PoS
BaseballCardCoin,29554,Scrypt,PoW/PoS
EmiratesGoldCoin,29556,SHA-256,PoW
BighanCoin,29559,Quark,PoW
Craftcoin,29711,Scrypt,PoW/PoS
Invictus,29713,X11,PoW/PoS
OlympCoin,29715,X11,PoW/PoS
DelightPay,29718,X13,PoW/PoS
Hacker Gold,29733,N/A,N/A
AntiLitecoin,29758,Scrypt,PoW
JobsCoin,29762,X11,PoW/PoS
DogeGoreCoin,29904,X11,PoW/PoS
The Hempcoin,29924,Scrypt,PoW/PoS
Tetra,29926,Scrypt,PoW
Resumeo Shares,29928,NIST5,PoS
FujiCoin,29935,Scrypt-n,PoW
Vaporcoin,30016,SHA-256,PoW/PoS
SydPakCoin,30019,X13,PoW/PoS
Recovery Right Tokens,30020,N/A,N/A
